Category,Travel,Technology,Art,Food,Music,DIY,Pets,ClothingFashion,History,Personal Care,Gaming,Reading,Automotives,Sports,Office/Professional,Gifting,Decor
Computer Parts,0,5,1,0,2,2,0,0,0,0,4,0,0,0,3,0,1
Camping supplies,5,0,0,3,0,4,1,0,1,0,0,1,0,2,0,0,0
Painting supplies,0,0,5,0,1,4,0,0,2,0,0,1,0,0,2,0,3
Shoes,4,0,0,0,0,0,3,5,0,2,0,0,0,3,0,0,0
Cooking/Ingredients,0,0,1,5,0,4,0,0,1,2,0,0,0,0,0,0,3
Pet Toys,1,0,0,2,0,4,5,0,0,0,0,0,0,3,0,0,0
Fiction Novels,0,0,3,0,0,0,0,0,4,0,0,5,0,1,2,0,0
Hair Dye,0,0,3,0,2,1,0,5,0,4,0,0,0,0,0,0,1
Wrapping Paper,0,0,2,0,0,4,0,0,0,1,0,0,0,0,3,5,0
Games,0,4,2,0,1,0,0,0,0,0,5,0,0,1,3,0,0
Cameras,5,4,3,0,0,1,1,0,0,0,2,0,0,0,1,0,0
Speakers,0,4,0,0,5,0,0,0,0,0,2,0,0,0,0,1,3
Museum Tickets,5,0,4,0,3,0,0,0,5,0,0,2,1,1,0,0,0
Perfume/Cologne,3,0,0,0,0,2,0,4,0,5,0,0,0,1,0,0,0
Jackets,4,0,0,0,0,0,0,5,0,2,0,0,0,1,3,0,0
Writing Supplies,0,0,2,0,0,3,0,0,3,0,0,5,0,0,4,1,0
Office Supplies,0,2,0,0,0,0,0,0,0,1,0,4,0,0,5,3,0
Watches,2,3,0,0,0,0,0,4,0,0,0,0,0,0,5,0,1
Coffee Maker,0,1,0,5,0,2,0,0,0,0,0,0,0,3,4,0,0
Headphones,4,4,0,0,5,0,0,1,0,0,4,2,0,3,1,0,0
Furniture,0,0,3,0,0,4,0,0,0,0,1,2,0,0,4,0,5
Tires,4,1,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0
Gift Cards,2,0,0,4,0,0,0,0,0,0,3,0,0,0,1,5,0
Chocolate,0,0,0,5,0,0,0,0,0,1,0,0,0,2,3,4,0
